100 2500
25 72 89
64 39 12
45 32 21
73 6 12
96 96 44
83 38 6
78 63 6
78 55 20
30 14 68
50 45 97
12 11 15
20 0 42
33 40 36
34 65 47
0 3 47
72 45 32
75 12 87
93 70 66
44 63 69
73 10 78
36 89 10
95 76 9
82 85 24
90 17 70
76 40 39
54 78 67
87 11 10
41 16 68
23 48 16
65 96 59
0 45 27
6 9 91
21 11 17
38 46 100
46 95 89
2 25 37
16 47 70
21 26 8
15 80 66
91 47 15
76 22 61
93 68 73
20 36 59
89 46 85
29 33 44
2 21 61
40 68 88
87 89 25
37 3 77
61 6 43
38 80 56
40 43 23
57 86 42
93 56 16
18 72 22
29 12 14
47 31 100
27 96 3
82 73 99
28 10 30
62 33 79
85 29 70
20 80 87
38 94 7
97 77 19
94 82 92
28 5 95
90 22 73
90 35 28
82 21 28
49 50 13
15 4 5
75 92 40
46 83 40
49 61 79
33 22 87
63 99 2
20 82 23
34 92 55
76 41 74
26 75 74
54 45 7
16 25 48
41 68 34
3 93 84
56 84 66
56 67 5
73 69 61
36 46 67
79 91 56
7 72 78
32 95 58
40 64 74
48 66 62
11 8 31
87 11 62
81 13 27
6 86 86
89 15 79
63 34 29
98 6 20
45 58 84
74 92 55
19 25 42
48 11 58
65 62 56
7 46 44
48 79 55
33 99 70
23 77 17
22 12 15
83 87 24
41 99 67
39 38 90
98 17 78
88 53 67
44 31 6
99 61 51
15 53 17
91 28 24
5 41 44
79 72 93
68 11 43
84 23 15
5 59 38
42 89 4
60 87 71
48 18 95
6 72 12
88 71 57
99 23 79
31 4 25
67 95 27
47 65 100
26 60 84
77 29 67
81 36 82
33 8 11
22 84 57
33 6 3
24 0 16
72 57 58
49 32 25
17 37 89
94 68 91
58 63 24
8 4 80
16 24 65
41 85 73
66 57 79
92 73 97
41 89 49
92 55 4
55 7 23
84 63 3
46 39 24
1 97 73
64 40 59
93 32 3
77 58 76
99 98 66
62 1 33
80 53 37
30 49 5
35 46 62
23 79 2
14 16 39
27 34 31
76 55 1
20 98 27
78 58 90
29 98 89
15 78 47
14 18 35
55 12 77
13 2 25
74 85 23
21 82 97
54 27 81
46 10 18
54 32 6
70 23 5
42 8 75
13 81 36
56 30 31
47 43 27
15 74 96
23 99 2
28 42 72
41 86 76
66 74 86
3 38 9
16 26 30
22 56 39
91 32 56
6 84 9
96 27 15
77 79 88
57 45 69
23 55 87
64 23 98
52 24 31
67 61 83
20 48 95
96 9 69
49 44 31
15 32 63
55 73 71
24 43 42
41 43 54
76 17 41
46 81 60
54 43 35
98 12 70
54 91 13
94 90 56
73 71 100
11 70 78
61 43 92
54 62 66
41 6 8
74 0 23
76 58 29
32 72 70
50 65 72
97 92 69
3 24 77
1 14 77
35 94 31
62 53 6
0 32 82
3 8 58
98 13 38
91 2 15
29 4 93
81 23 39
85 97 69
62 87 91
54 20 11
87 80 15
84 82 41
46 96 97
6 54 97
39 41 60
95 46 13
18 54 85
43 16 31
84 5 1
64 33 43
35 58 87
94 59 43
61 9 10
9 37 95
54 72 96
31 13 24
90 79 12
24 59 87
39 68 21
18 34 15
71 75 81
64 16 39
61 69 70
63 71 94
70 17 76
36 53 32
63 15 44
92 36 43
1 56 42
31 6 27
36 96 19
7 68 28
33 82 10
19 6 11
68 79 72
56 19 48
62 53 90
79 1 25
95 44 19
82 32 67
55 91 68
64 86 41
30 8 42
90 45 31
65 3 31
60 92 23
37 56 2
70 81 27
27 78 67
58 15 68
17 22 34
91 5 66
90 86 57
82 19 85
51 28 94
97 19 80
92 41 34
73 62 30
17 29 32
56 55 41
19 83 84
42 29 24
16 70 43
35 3 11
57 58 11
35 78 41
59 21 10
3 67 50
18 22 31
43 88 85
32 78 52
42 51 67
3 42 12
77 82 98
38 71 3
42 78 98
25 25 81
78 33 87
52 24 82
21 55 65
9 51 81
84 86 6
44 72 80
1 82 14
27 59 44
46 81 98
19 17 50
71 12 78
74 10 7
17 37 52
81 2 25
45 84 4
57 27 89
93 1 6
25 2 46
58 7 80
80 22 62
10 99 27
43 42 27
69 31 59
77 67 61
70 3 55
50 1 51
80 57 69
40 28 89
72 47 9
77 81 30
44 61 87
70 34 20
46 62 74
66 6 55
54 31 24
35 65 89
75 40 26
55 14 27
50 72 11
69 19 64
12 65 39
89 4 35
40 13 10
2 39 4
93 78 95
27 86 6
79 28 18
12 44 17
98 54 46
43 74 45
51 14 14
44 25 24
44 4 48
40 86 87
87 38 76
56 89 89
86 71 29
80 52 42
35 5 59
83 91 44
3 39 55
41 4 35
37 18 7
76 63 91
94 38 66
28 56 46
26 65 38
50 40 92
62 44 27
61 38 71
85 31 14
70 26 91
88 51 31
74 85 57
8 44 97
74 8 28
48 16 47
3 11 91
22 5 37
39 63 87
23 20 80
55 20 35
18 46 75
71 47 36
63 58 4
78 60 11
69 97 28
34 35 62
29 62 57
39 43 34
16 17 77
35 68 60
40 23 19
32 57 59
77 98 12
30 15 40
72 9 13
33 81 35
43 85 15
88 20 36
33 59 30
14 90 89
58 32 90
47 11 94
6 44 49
81 9 28
97 52 74
25 5 60
10 32 23
28 43 72
7 3 61
60 88 5
77 75 20
68 96 45
20 97 17
32 72 15
25 29 28
68 82 41
60 55 23
13 10 66
52 34 21
74 98 46
99 12 41
60 40 50
67 58 62
71 80 65
80 88 12
33 91 34
44 0 77
45 65 62
85 38 17
11 85 89
65 61 74
97 15 43
1 10 72
32 19 49
1 86 7
83 15 27
16 32 43
43 82 62
60 26 87
32 64 25
20 17 80
40 26 61
0 15 98
91 60 35
68 8 37
51 56 36
9 29 96
32 94 67
26 24 86
22 82 100
55 22 7
49 50 92
75 73 17
94 2 29
78 61 99
18 92 16
27 49 74
93 11 44
28 5 77
5 1 66
55 66 90
33 75 21
37 41 60
64 37 39
2 13 99
40 57 68
78 63 27
3 48 87
20 58 34
76 47 53
16 33 76
74 84 82
86 3 36
54 62 45
15 53 95
59 34 33
51 15 35
73 19 80
56 1 11
80 8 12
13 77 52
37 78 55
77 2 85
89 98 56
48 26 70
17 93 25
11 87 91
25 51 31
80 56 83
61 18 79
2 78 81
96 60 99
6 11 8
12 38 91
21 40 3
25 72 52
1 46 90
0 53 59
17 21 95
18 22 28
54 72 48
4 52 98
20 82 54
5 47 68
49 22 68
24 83 83
43 19 45
32 45 90
13 2 78
16 85 26
36 50 2
50 26 48
3 69 9
9 86 13
56 51 69
57 58 88
87 41 4
41 19 11
9 6 94
16 27 91
4 9 82
10 76 68
4 97 84
31 18 99
17 79 1
15 62 20
53 5 76
57 20 78
2 89 68
79 25 62
62 30 2
14 43 21
89 15 25
44 10 28
84 53 32
19 39 34
42 41 33
35 94 20
72 47 69
31 69 42
29 1 96
98 2 30
95 7 40
96 66 63
14 17 93
31 47 80
14 91 46
10 95 26
24 31 71
27 34 23
37 84 7
11 9 1
60 57 11
40 66 49
88 16 76
17 40 40
25 8 21
35 71 82
46 22 30
81 4 93
45 60 98
83 98 97
69 81 79
26 50 15
51 72 20
54 27 64
94 29 19
10 90 76
27 80 78
30 18 57
90 20 91
3 51 87
16 92 35
21 46 45
1 89 1
27 77 29
0 8 81
18 41 21
24 76 88
79 80 55
62 96 86
49 80 19
69 45 86
26 49 57
50 79 94
34 96 23
54 86 8
34 96 7
82 47 62
18 89 81
71 21 26
99 29 94
74 94 38
97 91 84
69 54 100
7 68 13
24 65 67
40 52 24
84 47 74
11 57 42
10 24 11
75 4 8
17 26 84
21 10 43
17 98 80
59 21 66
72 48 71
63 19 35
67 78 84
63 63 16
13 97 78
20 25 30
78 48 67
1 28 6
23 15 72
33 98 44
