500 250000
413 472 75
228 395 47
420 381 81
336 108 89
349 275 11
475 334 81
359 41 52
417 396 48
299 137 91
354 406 36
314 151 25
96 167 68
483 195 2
206 390 8
210 492 33
304 284 93
400 278 83
369 259 69
192 253 93
9 194 33
205 229 61
179 399 35
184 56 4
474 45 76
476 237 61
326 49 30
199 265 89
270 333 97
205 335 74
130 261 72
183 76 21
204 445 4
369 4 53
499 157 91
153 469 100
405 151 84
303 324 24
271 346 33
379 107 59
166 81 62
48 368 88
168 374 70
5 65 57
498 283 16
110 157 82
42 343 5
453 419 35
438 27 92
270 158 30
449 2 90
170 10 59
327 137 5
196 17 48
291 59 24
229 352 69
53 489 13
109 0 77
321 395 20
348 328 50
399 212 20
44 128 82
369 40 18
230 29 70
335 328 21
173 99 4
8 71 12
324 274 60
172 31 23
101 338 71
346 397 85
385 321 81
486 162 72
268 161 86
363 162 87
492 304 33
323 60 14
331 47 92
116 27 14
359 10 15
389 325 18
231 223 48
458 387 58
220 130 72
359 414 26
118 58 100
303 479 99
172 408 87
101 262 47
235 282 28
92 427 52
461 229 76
40 243 9
173 35 18
196 254 21
301 429 31
350 476 87
114 381 49
52 155 34
477 20 69
228 399 10
274 203 30
323 222 14
72 164 2
22 459 41
263 368 12
24 345 89
112 275 21
143 311 91
244 187 25
146 99 55
203 389 32
223 494 26
158 393 39
341 423 29
239 398 9
429 175 74
172 238 80
412 463 9
241 498 10
99 406 82
386 436 36
267 437 30
364 113 14
141 5 66
153 158 46
298 259 14
469 418 35
246 273 97
114 145 87
279 431 69
168 336 68
127 464 41
337 42 24
90 261 96
25 284 69
472 28 53
366 384 55
124 28 91
258 367 62
429 303 7
325 32 79
7 313 71
461 376 67
326 110 17
243 183 60
392 75 43
129 73 44
345 196 23
118 327 74
41 336 26
47 251 93
58 472 99
143 54 36
470 261 11
490 219 53
131 342 28
291 56 46
204 328 33
129 281 4
197 135 99
227 488 87
305 228 26
369 253 48
318 201 64
477 203 68
8 482 47
439 66 100
426 493 37
116 434 34
17 200 69
8 283 55
367 401 6
176 390 43
216 119 11
443 238 8
164 493 58
343 433 10
288 21 17
244 79 95
90 234 98
152 200 17
178 389 93
175 239 14
173 255 21
333 131 62
184 134 29
368 460 87
426 263 79
85 493 81
64 84 89
206 214 28
80 234 78
92 474 9
50 158 91
164 463 53
180 19 98
419 443 44
284 46 74
16 400 61
303 175 17
257 233 78
220 362 3
55 163 77
358 184 88
55 309 74
223 120 67
374 289 19
348 151 58
101 17 38
457 189 57
203 189 70
165 81 79
49 193 48
76 391 63
200 142 11
290 209 48
136 332 6
395 302 30
304 107 47
150 148 39
13 142 29
145 367 51
324 453 96
196 438 97
58 222 40
338 68 62
265 379 11
63 425 77
195 152 55
322 60 42
216 26 5
195 356 23
465 63 42
161 397 57
128 328 98
97 393 49
364 422 94
424 5 18
84 271 59
227 380 72
433 201 55
267 145 69
269 354 99
157 16 66
250 398 37
234 12 12
138 28 72
180 469 89
157 321 77
401 459 53
200 248 53
278 92 36
368 129 41
136 126 63
106 6 72
264 235 21
284 241 80
13 348 74
264 117 35
192 465 79
225 252 81
71 401 70
384 206 71
114 461 90
337 126 59
28 196 52
205 377 96
30 351 93
241 367 93
298 176 89
417 298 85
459 381 56
83 325 26
297 175 28
108 311 96
483 292 15
7 287 31
417 186 71
123 241 15
44 343 60
159 229 75
300 189 70
70 40 49
31 244 49
290 124 65
439 328 21
276 205 36
180 466 77
82 102 74
227 144 67
261 60 64
178 7 62
84 458 58
398 139 7
268 459 53
157 351 95
368 410 16
205 174 55
200 102 94
18 215 40
110 26 17
489 204 64
424 4 1
258 176 39
152 99 58
97 420 98
39 427 84
303 32 66
324 428 34
172 309 45
40 368 62
28 338 75
250 269 7
490 90 53
216 394 64
97 71 48
151 18 77
418 105 76
259 66 75
24 149 65
444 142 58
280 345 49
321 108 34
87 92 28
5 30 6
412 56 73
387 417 85
54 468 56
454 96 42
487 172 37
464 496 37
20 109 29
253 330 88
170 285 54
350 306 91
410 162 12
343 113 69
410 348 75
433 282 59
49 313 99
461 494 54
255 499 54
332 467 6
414 412 65
102 108 94
164 144 19
120 111 57
159 326 88
478 187 45
120 418 12
171 5 10
440 417 26
175 41 43
299 103 1
414 414 10
320 36 66
28 136 77
68 111 12
125 203 12
199 389 4
364 352 12
72 322 36
20 143 79
361 212 22
468 327 8
124 280 36
