500 50
231 414 90
276 295 84
364 419 33
204 261 63
368 248 17
391 407 87
429 422 20
366 477 54
102 336 84
457 312 7
81 301 59
252 338 26
201 142 9
66 97 50
399 365 11
70 232 74
360 92 29
247 255 46
493 445 94
281 383 8
200 223 46
406 282 17
343 158 65
158 481 57
267 458 50
309 221 99
205 2 80
382 153 23
146 226 76
221 400 63
10 71 18
235 205 38
434 170 5
439 496 34
61 308 84
393 337 92
259 359 93
344 425 94
479 134 52
234 76 44
102 108 20
135 217 31
375 94 88
133 117 50
181 366 83
91 321 92
73 325 32
446 99 82
366 23 36
330 76 93
